volgnr1z,buurtz,gebplmz,gebjrmz,relimz,bsmz,bersmz,berpmz,gebjrvz,gebplvaz,relivz,nrkindz,nrbodez,nrhgz,relhfdz,grondblz,pblz,patblz,totblz,jrhu1z,bervamz,bervavz,bermhuz,bervhuz,bergt1z,relgt1z,bergt2z,relgt2z,bergt3z,relgt3z,bergt4z,relgt4z,hugeldz,hulftaz,volgnr2z,hulftbz,bsvz,gebplvbz,vamasdz,pblvamz,vavasdz,pblvavz
236601,22,1,1824,9,3,251,231,-1,-1,-1,0,2,0,-1,36,142,26,204,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,236602,-1,-1,-1,-1,-1,-1,-1
236651,43,1,1833,1,1,203,140,1826,1,1,5,1,0,-1,0,70,58,127,1856,540,0,140,0,540,5,321,5,540,5,160,3,2,23,236652,30,3,1,1,42,0,0
236701,49,1,1848,1,1,251,231,1850,3,1,4,2,0,-1,0,89,38,128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,236702,-1,-1,-1,-1,-1,-1,-1
236751,26,3,1818,1,3,30,210,-1,-1,-1,0,1,1,2,42,78,6,127,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,236752,-1,-1,-1,-1,-1,-1,-1
236801,22,1,1857,9,1,230,650,1860,1,9,2,3,1,2,78,95,87,260,1879,540,0,215,0,110,6,610,6,610,2,650,2,0,22,236802,19,3,1,1,0,0,0
236851,49,1,1847,1,1,258,322,1850,1,1,3,1,1,1,44,80,24,149,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,236852,-1,-1,-1,-1,-1,-1,-1
236901,24,1,1826,1,1,303,233,1843,1,1,1,2,1,2,44,142,173,359,1873,540,0,233,0,212,2,212,2,212,2,540,7,2,46,236902,30,3,1,1,0,0,0
236951,36,3,1836,11,1,304,421,1855,1,11,6,3,0,-1,0,176,0,176,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,236952,-1,-1,-1,-1,-1,-1,-1
237001,36,5,1814,8,1,360,540,1824,2,1,0,2,1,2,141,176,0,316,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,237002,-1,-1,-1,-1,-1,-1,-1
237051,35,1,1846,8,2,207,240,1850,1,8,3,1,0,-1,33,39,87,159,1874,540,540,540,0,340,5,210,6,210,6,240,7,0,27,237052,23,3,1,0,0,1,0
237101,48,1,1822,6,1,190,610,1830,1,6,0,0,0,-1,0,36,119,155,1861,0,231,610,0,231,4,650,5,680,2,650,3,3,38,237102,31,3,1,0,0,1,158
237151,24,2,1809,1,2,224,120,1802,3,1,0,6,0,-1,240,904,576,1720,1831,411,112,540,0,411,1,112,4,421,7,120,5,0,21,237152,28,3,3,0,0,1,0
237201,23,1,1829,8,3,202,254,-1,-1,-1,0,1,4,2,162,261,26,448,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,237202,-1,-1,-1,-1,-1,-1,-1
237251,23,1,1851,8,1,207,240,1851,1,1,1,2,0,-1,49,77,87,214,1878,540,540,211,0,321,5,540,6,240,7,240,7,0,27,237252,27,3,1,1,0,1,22
237301,21,1,1831,5,1,256,235,1840,3,1,4,2,0,-1,0,118,38,156,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,237302,-1,-1,-1,-1,-1,-1,-1
237351,22,1,1815,9,1,239,650,1823,1,9,2,3,0,-1,0,109,26,135,1843,0,220,650,0,610,2,540,3,650,2,610,6,0,27,237352,19,3,1,0,0,1,0
237401,22,1,1852,9,1,190,610,1859,1,9,2,2,0,-1,0,194,119,313,1878,610,680,610,0,540,2,610,2,540,6,210,6,0,25,237402,18,3,1,1,62,1,136
237451,22,2,1833,9,1,360,540,1838,2,9,5,5,0,-1,132,218,0,349,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,237452,-1,-1,-1,-1,-1,-1,-1
237501,10,1,1840,8,1,32,214,1838,3,8,5,0,0,-1,292,35,14,340,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,237502,-1,-1,-1,-1,-1,-1,-1
237551,28,1,1833,1,1,230,650,1841,1,1,0,0,0,-1,0,61,58,119,1876,0,0,650,0,210,5,210,5,210,7,260,7,0,43,237552,35,3,1,0,0,0,0
237601,5,3,1852,9,3,239,650,-1,-1,-1,0,1,2,2,0,65,52,117,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,237602,-1,-1,-1,-1,-1,-1,-1
237651,35,3,1822,8,2,190,610,1815,6,8,2,1,0,-1,0,106,42,149,1847,0,0,210,4,540,6,610,6,610,5,110,7,0,24,237652,31,3,6,0,0,0,0
237701,35,4,1833,1,1,239,650,1841,1,2,6,3,0,-1,0,184,87,271,1866,120,650,120,0,540,2,110,2,610,6,110,6,4,33,237702,25,3,1,1,171,1,602
237751,3,1,1837,9,1,12,215,1837,1,9,6,2,2,2,107,26,6,139,1859,215,0,215,2,215,5,540,5,210,7,540,7,0,22,237752,23,3,1,1,0,0,0
237801,49,2,1848,1,1,304,421,1851,1,1,1,2,0,-1,0,209,0,209,1872,442,540,442,0,610,3,540,6,232,6,231,7,4,23,237802,20,3,1,0,0,1,227
237851,28,1,1819,7,1,239,650,1825,1,1,3,1,0,-1,18,57,87,162,1858,0,410,321,0,410,4,211,5,210,5,360,7,0,39,237852,32,2,1,0,0,1,0
237901,34,1,1849,8,1,360,540,1848,1,8,3,3,0,-1,83,229,0,312,1872,220,610,540,0,540,6,610,3,610,7,322,7,3,23,237902,24,3,1,1,314,1,0
237951,31,1,1843,6,1,32,214,1851,1,1,4,0,0,-1,62,48,31,141,1867,210,210,211,2,540,2,443,2,210,7,540,7,1,24,237952,26,3,1,1,0,1,0
238051,2,2,1855,8,3,230,650,-1,-1,-1,0,2,0,-1,0,47,126,172,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,238052,-1,-1,-1,-1,-1,-1,-1
238101,2,2,1846,1,1,190,610,1850,1,5,3,1,0,-1,0,353,127,479,1876,442,0,610,0,540,5,442,5,442,5,442,5,0,30,238102,26,3,1,1,186,0,0
238151,49,1,1842,1,1,360,540,1845,2,6,0,2,0,-1,107,95,0,202,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,238152,-1,-1,-1,-1,-1,-1,-1
238201,30,1,1816,1,1,190,610,1821,3,1,2,1,0,-1,56,57,0,113,1845,610,0,252,4,252,3,252,7,252,7,252,7,0,28,238202,30,3,1,1,0,0,0
238251,33,1,1824,1,1,360,540,1832,1,8,1,1,0,-1,0,163,0,163,1851,0,443,540,0,680,7,443,7,610,7,610,7,0,27,238252,19,3,1,0,0,0,0
238301,7,1,1841,8,1,230,650,1842,2,8,3,1,0,-1,0,96,87,183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,238302,-1,-1,-1,-1,-1,-1,-1
238351,25,1,1843,1,1,33,210,1852,3,1,3,1,0,-1,56,38,23,117,1878,540,0,210,0,210,3,610,6,213,6,212,7,0,35,238352,26,3,3,1,0,0,0
238401,35,3,1818,8,1,251,231,1823,1,8,4,2,0,-1,120,138,26,283,1853,540,0,231,0,540,2,232,2,610,2,610,6,2,34,238402,29,3,1,0,0,0,0
238451,33,1,1840,6,1,230,650,1843,1,6,2,1,0,-1,96,78,19,194,1868,321,213,610,0,322,2,410,6,213,6,610,7,2,28,238452,25,3,1,1,0,1,0
238501,5,2,1853,8,1,130,210,1859,1,8,0,2,0,-1,0,125,48,174,1882,210,540,210,0,540,5,540,5,610,5,210,3,0,28,238502,22,3,1,0,0,0,0
238551,35,1,1855,1,1,239,650,1862,1,1,0,1,0,-1,0,151,0,151,1883,110,680,650,0,321,2,650,5,540,3,540,2,0,27,238552,23,3,1,1,85,1,252
238601,28,2,1838,8,1,239,650,1839,1,8,2,2,0,-1,0,192,58,249,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,238602,-1,-1,-1,-1,-1,-1,-1
238651,43,1,1822,6,1,370,321,1821,1,6,0,1,0,-1,21,56,42,119,1845,610,0,321,0,210,5,210,5,540,7,540,7,0,23,238652,23,3,1,1,0,0,0
238701,49,1,1837,2,1,360,540,1841,3,1,7,3,0,-1,0,222,0,222,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,238702,-1,-1,-1,-1,-1,-1,-1
238751,45,1,1840,1,1,238,680,1838,1,1,2,1,0,-1,104,120,38,263,1872,0,234,680,0,610,2,420,2,610,5,322,7,2,31,238752,33,3,1,0,0,1,86
238801,35,1,1839,6,1,61,210,1840,1,1,5,2,0,-1,81,86,0,167,1864,210,0,210,0,220,3,220,3,220,6,240,7,2,25,238802,23,3,1,1,0,0,0
238851,24,1,1812,1,2,230,650,1808,2,1,1,2,0,-1,125,225,237,587,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,238852,-1,-1,-1,-1,-1,-1,-1
238901,49,1,1849,1,1,238,680,1851,3,6,2,2,0,-1,52,190,40,282,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,238902,-1,-1,-1,-1,-1,-1,-1
238951,42,5,1845,9,1,230,650,1855,5,9,1,2,0,-1,0,307,237,544,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,238952,-1,-1,-1,-1,-1,-1,-1
239001,48,1,1852,1,1,207,240,1860,1,1,4,1,0,-1,0,2,148,150,1879,0,0,240,0,410,6,610,7,420,7,440,7,0,25,239002,18,3,1,0,0,0,0
239051,22,1,1824,9,3,239,650,-1,-1,-1,0,0,4,2,26,70,26,122,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,239052,-1,-1,-1,-1,-1,-1,-1
239101,42,3,1829,1,1,41,234,1826,3,1,1,2,0,-1,34,87,38,159,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,239102,-1,-1,-1,-1,-1,-1,-1
239151,6,1,1810,9,1,190,610,1830,1,9,5,1,1,2,0,91,41,132,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,239152,-1,-1,-1,-1,-1,-1,-1
239201,42,1,1836,1,1,303,233,1845,1,1,1,2,0,-1,0,140,119,259,1868,0,680,540,0,410,2,540,2,540,2,650,6,2,31,239202,22,3,1,0,0,1,147
239251,43,1,1850,6,3,200,112,-1,-1,-1,0,0,0,-1,0,95,59,154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,239252,-1,-1,-1,-1,-1,-1,-1
239301,13,5,1844,9,1,168,213,1849,3,9,5,0,0,-1,44,64,38,147,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,239302,-1,-1,-1,-1,-1,-1,-1
239351,25,1,1838,1,1,258,322,1828,4,1,1,1,0,-1,34,77,15,126,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,239352,-1,-1,-1,-1,-1,-1,-1
239401,31,1,1828,6,2,32,210,1823,1,1,2,1,0,-1,203,38,78,319,1853,0,540,210,0,540,6,321,5,211,2,110,2,2,24,239402,30,3,1,0,0,1,0
239451,13,1,1839,1,1,103,210,1841,1,1,3,1,0,-1,42,28,58,128,1862,540,210,210,0,210,5,240,7,540,7,252,7,2,22,239452,19,3,1,0,0,1,0
