obs,pop,buurt,buurt
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-R48-h,20,Buurt C,https://adamlink.nl/geo/district/buurt-c/141
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-F73-h,680,Buurt C.C,https://adamlink.nl/geo/district/buurt-cc/125
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-G73-h,3,Buurt C.C,https://adamlink.nl/geo/district/buurt-cc/125
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-J73-h,1663,Buurt C.C,https://adamlink.nl/geo/district/buurt-cc/125
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K73-h,3219,Buurt C.C,https://adamlink.nl/geo/district/buurt-cc/125
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L73-h,3918,Buurt C.C,https://adamlink.nl/geo/district/buurt-cc/125
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-M73-h,3122,Buurt C.C,https://adamlink.nl/geo/district/buurt-cc/125
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-N73-h,3876,Buurt C.C,https://adamlink.nl/geo/district/buurt-cc/125
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-O73-h,97,Buurt C.C,https://adamlink.nl/geo/district/buurt-cc/125
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-P73-h,42,Buurt C.C,https://adamlink.nl/geo/district/buurt-cc/125
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-Q73-h,55,Buurt C.C,https://adamlink.nl/geo/district/buurt-cc/125
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-R73-h,18,Buurt C.C,https://adamlink.nl/geo/district/buurt-cc/125
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-F49-h,298,Buurt D,https://adamlink.nl/geo/district/buurt-d/131
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-G49-h,3,Buurt D,https://adamlink.nl/geo/district/buurt-d/131
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-J49-h,601,Buurt D,https://adamlink.nl/geo/district/buurt-d/131
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K49-h,1359,Buurt D,https://adamlink.nl/geo/district/buurt-d/131
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L49-h,1768,Buurt D,https://adamlink.nl/geo/district/buurt-d/131
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-M49-h,1319,Buurt D,https://adamlink.nl/geo/district/buurt-d/131
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-N49-h,1749,Buurt D,https://adamlink.nl/geo/district/buurt-d/131
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-O49-h,40,Buurt D,https://adamlink.nl/geo/district/buurt-d/131
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-P49-h,19,Buurt D,https://adamlink.nl/geo/district/buurt-d/131
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-Q49-h,20,Buurt D,https://adamlink.nl/geo/district/buurt-d/131
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-R49-h,6,Buurt D,https://adamlink.nl/geo/district/buurt-d/131
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-F74-h,467,Buurt D.D,https://adamlink.nl/geo/district/buurt-dd/111
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-G74-h,9,Buurt D.D,https://adamlink.nl/geo/district/buurt-dd/111
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-H74-h,1,Buurt D.D,https://adamlink.nl/geo/district/buurt-dd/111
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-J74-h,1173,Buurt D.D,https://adamlink.nl/geo/district/buurt-dd/111
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K74-h,2374,Buurt D.D,https://adamlink.nl/geo/district/buurt-dd/111
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L74-h,2716,Buurt D.D,https://adamlink.nl/geo/district/buurt-dd/111
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-M74-h,2368,Buurt D.D,https://adamlink.nl/geo/district/buurt-dd/111
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-N74-h,2713,Buurt D.D,https://adamlink.nl/geo/district/buurt-dd/111
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-O74-h,6,Buurt D.D,https://adamlink.nl/geo/district/buurt-dd/111
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-P74-h,3,Buurt D.D,https://adamlink.nl/geo/district/buurt-dd/111
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-Q74-h,47,Buurt D.D,https://adamlink.nl/geo/district/buurt-dd/111
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-R74-h,9,Buurt D.D,https://adamlink.nl/geo/district/buurt-dd/111
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-F50-h,444,Buurt E,https://adamlink.nl/geo/district/buurt-e/130
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-G50-h,8,Buurt E,https://adamlink.nl/geo/district/buurt-e/130
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-H50-h,2,Buurt E,https://adamlink.nl/geo/district/buurt-e/130
