rij,cel,obs,pop,,,,,
160,I160,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I160-h,17,160,Buurt FF,https://adamlink.nl/geo/district/buurt-ff/112,Luthers Diaconiehofje,Kom
161,I161,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I161-h,20,161,Buurt FF,https://adamlink.nl/geo/district/buurt-ff/112,"Gesticht ""Venetia""",Kom
162,I162,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I162-h,2,162,Buurt FF,https://adamlink.nl/geo/district/buurt-ff/112,R. C. Jongens weeshuis,Kom
163,I163,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I163-h,410,163,Buurt FF,https://adamlink.nl/geo/district/buurt-ff/112,Overige huizen,Kom
164,I164,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I164-h,1,164,Buurt GG,https://adamlink.nl/geo/district/buurt-gg/113,St. Aloysius-gesticht,Kom
165,I165,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I165-h,505,165,Buurt GG,https://adamlink.nl/geo/district/buurt-gg/113,Overige huizen,Kom
166,I166,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I166-h,1,166,Buurt HH,https://adamlink.nl/geo/district/buurt-hh/114,Toevlugt voor behoeftigen,Kom
167,I167,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I167-h,1,167,Buurt HH,https://adamlink.nl/geo/district/buurt-hh/114,Hofje van de wed. Roosen,Kom
168,I168,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I168-h,417,168,Buurt HH,https://adamlink.nl/geo/district/buurt-hh/114,Overige huizen,Kom
169,I169,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I169-h,1,169,Buurt II,https://adamlink.nl/geo/district/buurt-jj/122,Gesticht Stads-bestedelingen,Kom
170,I170,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I170-h,1,170,Buurt II,https://adamlink.nl/geo/district/buurt-jj/122,Kosthuis No. 1,Kom
171,I171,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I171-h,429,171,Buurt II,https://adamlink.nl/geo/district/buurt-jj/122,Overige huizen,Kom
172,I172,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I172-h,1,172,Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115,Instituut tot onderwijs van Blinden,Kom
173,I173,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I173-h,1,173,Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115,"Weeshuis ""de Oranjeappel""",Kom
174,I174,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I174-h,1,174,Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115,"Hof ""Liefde is het Fundament""",Kom
175,I175,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I175-h,1,175,Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115,Nieuw Suikerhofje,Kom
176,I176,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I176-h,1,176,Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115,R. C. Ziekenverpleging,Kom
177,I177,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I177-h,548,177,Buurt KK,https://adamlink.nl/geo/district/buurt-kk/115,Overige huizen,Kom
178,I178,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I178-h,1,178,Buurt LL,https://adamlink.nl/geo/district/buurt-ll/116,Kweekschool voor de Zeevaart,Kom
179,I179,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I179-h,1,179,Buurt LL,https://adamlink.nl/geo/district/buurt-ll/116,Gesticht van Liefdadigheid,Kom
