volgnr1y;berpmy
129651;artistiek beroep
129701;commissionair
129751;ambachtsman
129801;240
129851;comm. in effecten
129901;makelaar
129951;arts
130001;winkelier
130051;commissionair
130101;fabrikanten
130151;fabrikanten
130201;comm. in effecten
130251;koopman
130351;rentenier
130401;arts
130451;gepensioneerd
130501;koopman
130551;koopman
130601;slager
130651;ov. zelfstandigen
130701;commissionair
130751;zonder
130801;wijnkoopman
130851;koopman
130901;commissionair
130951;koopman
131001;koopman
131051;zonder
131101;koopman
131151;timmerman, makelaar
131201;makelaar
131251;koopman
131301;zonder
131351;ambtenaar
131401;koopman
131451;koopman
131501;apotheker
131551;koopman
131601;koopman
131651;ambachtsman
131701;makelaar
131801;wijnkoopman
131851;koopman
131951;comm. in effecten
132001;tabakskoopman
132051;apotheker
132101;ambachtsman
132151;makelaar
132201;tabakskoopman
132251;assuradeurs
132301;rentenier
132351;advocaat
132451;ambachtsman
132501;koopman
132551;zonder
132601;hoogleraar
132651;zonder
132701;ambtenaar
132751;bakker
132801;zonder
132901;koopman
132951;ambachtsman
133001;zonder
133051;directeur
133151;ambachtsman
133201;vrij beroep
133251;kruidenier
133301;advocaat
133351;apotheker
133401;ambachtsman
133451;koopman
133501;koopman
133551;timmerman
133601;makelaar
133651;ambachtsman
133701;assuradeurs
133751;pastoor
133801;koopman
133851;suikerraffinadeurs
133901;240
133951;zonder
134001;ambachtsman
134051;zonder
134101;commissionair
134151;ambachtsman
134201;makelaar
134251;zonder
134301;wijnkoopman
134351;commissionair
134401;makelaar
134451;zonder
134501;comm. in effecten
134551;arts
134601;arts
134651;grondeigenaar
134701;pakhuisopzichter
134751;cargadoors
134801;notaris
134851;zonder
134901;koopman
134951;arts
135001;zonder
135051;kruidenier
135101;koopman
135151;suikerraffinadeurs
135201;artistiek beroep
135251;rechter
135301;ambachtsman
135351;wijnkoopman
135401;predikant
135451;vrij beroep
135501;bankiers, kassiers
135551;koopman
135601;makelaar
135651;240
135701;koopman
135751;makelaar
135801;fabrikanten
135851;hoogleraar
135901;koopman
135951;comm. in effecten
136001;tabakswinkelier
136051;koopman
136101;makelaar
136151;grondeigenaar
136201;koopman
136251;240
136301;zonder
136351;grondeigenaar
136401;stalhouder
136451;wijnkoopman
136501;molenaar
136551;cargadoors
136601;notaris
136651;zonder
136701;koopman
136751;240
136801;zonder
136851;zonder
136901;winkelier
136951;timmerman, makelaar
137051;directeur
137101;timmerman
137151;commissionair
137201;koopman
137251;predikant
137301;koopman
137351;makelaar
137401;koopman
137451;rentenier
137501;cargadoors
137551;commissionair
137601;pakhuisopzichter
137651;onderwijzer
137701;240
137751;zonder
137801;zonder
137851;koopman
137901;240
137951;koopman
138001;commissionair
138051;comm. in effecten
138101;fabrikanten
138151;bankiers, kassiers
138201;zonder
138251;zonder
138301;makelaar
138351;koopman
138401;ambachtsman
138451;fabrikanten
138501;koopman
138551;assuradeurs
138601;comm. in effecten
102951;zonder
104151;fabrikanten
105951;zonder
116351;winkelier
116951;zonder
