WKT,loc_nr_def
POINT (4.89969234300664 52.3761143413683),100133
POINT (4.89973931997046 52.3760866672883),100134
POINT (4.89978169005034 52.376063851035),100135
POINT (4.89981608427702 52.3760416986251),100136
POINT (4.89986198401813 52.3760084465673),100137
POINT (4.89991252110867 52.3759675500192),100138
POINT (4.89996754244692 52.3759329420833),100139
POINT (4.89964165726012 52.3762722806088),100140
POINT (4.89959342683762 52.3763103997914),100141
POINT (4.89954399673748 52.3763540875088),100142
POINT (4.89949581976648 52.3763873300635),100143
POINT (4.89945797185375 52.3764129515887),100144
POINT (4.89941209437634 52.3764441135203),100145
POINT (4.89936504786471 52.3764780573653),100146
POINT (4.89929615095524 52.3765321150816),100147
POINT (4.89945212825462 52.3766337772539),100148
POINT (4.8995161884127 52.3766054769415),100149
POINT (4.89956998827693 52.3765785277164),100150
POINT (4.89962731791751 52.3765411426982),100151
POINT (4.8996662811881 52.3765176157722),100152
POINT (4.89971331219707 52.3764850651181),100153
POINT (4.89975804353077 52.3764545950393),100154
POINT (4.899783285594 52.3764365850862),100155
POINT (4.899879792233 52.3763561666158),100156
POINT (4.89981174592159 52.3763328958895),100157
POINT (4.8998526877925 52.376647270168),100158
POINT (4.89995551956414 52.376612859001),100159
POINT (4.90012779644239 52.3765780367286),100160
POINT (4.90008142366714 52.376550675187),100161
POINT (4.90004634232612 52.3765317203227),100162
POINT (4.89999362755858 52.376563551036),100163
POINT (4.89915242736774 52.3766618032463),100164
POINT (4.8990676930408 52.3767067386242),100165
POINT (4.89915433621997 52.3764883360837),100166
POINT (4.8992265408786 52.3764440456966),100167
POINT (4.89928836259078 52.3764122528479),100168
POINT (4.89931935004789 52.3763893898581),100169
POINT (4.89935719802042 52.3763637683772),100170
POINT (4.89939959154822 52.3763388622965),100171
POINT (4.89944319229622 52.3763076909913),100172
POINT (4.89952807868182 52.3762488222326),100173
POINT (4.89948156106519 52.3762346969067),100174
POINT (4.8994088929438 52.3762176770929),100175
POINT (4.899330586962 52.3761957571974),100176
POINT (4.89901863167305 52.3763031546641),100177
POINT (4.89918921402491 52.3762153785654),100178
POINT (4.89913735764006 52.3761691835026),100179
POINT (4.89907627987764 52.3761334007081),100180
POINT (4.89879688761384 52.3761782299958),100181
POINT (4.89899637241309 52.3760501655375),100182
POINT (4.89891961939858 52.375990630675),100183
POINT (4.89887445532211 52.3759570034549),100184
POINT (4.89884287426089 52.375930399107),100185
POINT (4.89879318777474 52.3758939664557),100186
POINT (4.89854716298756 52.3760099948487),100187
POINT (4.89895969240642 52.3762799209916),100188
POINT (4.89908404820424 52.376358462605),100189
POINT (4.89972258008057 52.3767552435925),100190
POINT (4.89972425564676 52.3768099404051),100191
POINT (4.89842570721575 52.3759525394122),100192
POINT (4.89851487882505 52.3759180731068),100193
POINT (4.89867956199648 52.3758490839398),100194
POINT (4.89866410152256 52.3758058255612),100195
POINT (4.89861434625356 52.3757756627324),100196
POINT (4.89857037465264 52.3757371635047),100197
POINT (4.89851718927578 52.3757083798537),100198
POINT (4.89846296546708 52.375670534961),100199
POINT (4.89840188893565 52.3756347518164),100200
POINT (4.89834542711588 52.3755934141951),100201
POINT (4.89828555051648 52.3755520624468),100202
POINT (4.89822455109571 52.3755093126568),100203
POINT (4.8981885097422 52.3754743294662),100204
POINT (4.89813767064892 52.3754392851475),100205
POINT (4.89809370747757 52.3754000890857),100206
POINT (4.89802701700106 52.3753573156839),100207
POINT (4.897969379173 52.375319456456),100208
POINT (4.89791866339333 52.3752732655569),100209
POINT (4.89786337151489 52.3752291457858),100210
POINT (4.8977993507315 52.3752539619361),100211
POINT (4.89774794329743 52.3752704699446),100212
POINT (4.89769528220667 52.3752974230551),100213
POINT (4.897638121723 52.3753194807299),100214
POINT (4.89758437989611 52.3753412041695),100215
POINT (4.89754204398996 52.3753608846903),100216
POINT (4.897491751551 52.37537948726),100217
POINT (4.89743147203634 52.3754262643283),100218
POINT (4.89810071333304 52.3756422167787),100219
POINT (4.89728986986805 52.3754667830915),100220
POINT (4.89771166092741 52.3754120957918),100221
POINT (4.89779850161121 52.3753824971978),100222
POINT (4.89894462987208 52.3757610012744),100223
POINT (4.89901088900851 52.3757396771703),100224
POINT (4.89906514610104 52.3757228320185),100225
POINT (4.89912288321352 52.3757000793467),100226
POINT (4.89917616240962 52.3756815754817),100227
POINT (4.8992287885683 52.3756577566634),100228
POINT (4.89928247249742 52.3756412573937),100229
POINT (4.89932821896032 52.3756219386486),100230
POINT (4.89938423303773 52.3756005721244),100231
POINT (4.89944828791347 52.3755726201687),100232
POINT (4.89951002015719 52.3755488387345),100233
POINT (4.89957059489211 52.3755267942188),100234
POINT (4.89964715928842 52.375499938701),100235
POINT (4.89973802882262 52.3754661751546),100236
POINT (4.89970602393052 52.3754263322369),100237
POINT (4.89968309479312 52.3753893134248),100238
POINT (4.89960255424773 52.3754154559058),100239
POINT (4.89964253368582 52.375351176979),100240
POINT (4.89933162760372 52.3754672881774),100241
POINT (4.89927388323763 52.3754907376081),100242
POINT (4.89923773759949 52.3754651595843),100243
POINT (4.89917040778375 52.3754286543793),100244
POINT (4.89932984320371 52.3753707896728),100245
POINT (4.89910648145199 52.3753932081953),100246
POINT (4.89911014366012 52.375319026121),100247
POINT (4.89925513373374 52.375332512392),100248
POINT (4.89884809092426 52.3754436976612),100249
POINT (4.89896942257848 52.3754347927211),100250
POINT (4.89904982519335 52.3755246484917),100251
POINT (4.89907733388713 52.3755592479004),100252
POINT (4.89905911526121 52.3756114243229),100253
POINT (4.89884400093228 52.3757634601349),100254
POINT (4.89880782847115 52.3757403202751),100255
POINT (4.89877280969077 52.3757157917888),100256
POINT (4.89873722563603 52.3756909126165),100257
POINT (4.89868353244306 52.3756565534491),100258
POINT (4.89862703963606 52.3756180025835),100259
POINT (4.89857790747488 52.3755829654992),100260
POINT (4.89854011612508 52.3755518069746),100261
POINT (4.89850677054114 52.3755304204044),100262
POINT (4.89846666047739 52.375503084065),100263
POINT (4.89842032056087 52.3754729352479),100264
POINT (4.89860380705149 52.3754019337386),100265
POINT (4.89863695178857 52.3753898784748),100266
POINT (4.89868435583209 52.3753750952825),100267
POINT (4.89872830661136 52.3753637812611),100268
POINT (4.89876889236549 52.3753479248772),100269
POINT (4.89881002805735 52.3753338124653),100270
POINT (4.89887340254604 52.3753159599754),100271
POINT (4.89894992481925 52.3752929365124),100272
POINT (4.89900538868855 52.3752698261804),100273
POINT (4.89904596659033 52.3752546663564),100274
