WKT,nummer
"POINT (121775.965022467 487572.95855889)",286
"POINT (121773.251976242 487568.540169324)",287
"POINT (121770.69396123 487564.044264151)",288
"POINT (121768.446008644 487559.393327766)",289
"POINT (121765.345384387 487554.664875774)",290
"POINT (121759.144135874 487558.773202914)",291
"POINT (121754.648230701 487561.408733533)",292
"POINT (121749.454685071 487564.470599986)",295
"POINT (121744.881264292 487567.920044472)",296
"POINT (121741.121757381 487569.819176829)",297
"POINT (121738.021133124 487571.795824793)",298
"POINT (121734.84299326 487573.501168134)",299
"POINT (121731.664853397 487574.625144428)",300
"POINT (121727.827830879 487577.376948456)",301
"POINT (121723.719503739 487579.779932255)",302
"POINT (121718.874778338 487582.37670507)",303
"POINT (121715.115271426 487584.54714205)",304
"POINT (121711.161975499 487587.143914865)",305
"POINT (121707.402468587 487589.585656467)",306
"POINT (121703.177868037 487591.988640266)",307
"POINT (121698.643205061 487594.197835049)",308
"POINT (121694.379846708 487596.600818848)",309
"POINT (121696.511525885 487601.368028643)",310
"POINT (121698.604447258 487603.964801458)",311
"POINT (121701.084946664 487606.445300863)",312
"POINT (121703.759235085 487609.700956333)",313
"POINT (121706.821101539 487612.452760361)",314
"POINT (121709.262843141 487615.204564389)",315
"POINT (121712.130920579 487618.731524481)",316
"POINT (121723.797019345 487612.646549377)",317
"POINT (121729.416900811 487609.119589285)",318
"POINT (121733.563985754 487606.832878896)",319
"POINT (121727.207706028 487597.182185896)",320
"POINT (121737.245977059 487604.817473129)",321
"POINT (121740.927968364 487602.879582968)",322
"POINT (121744.803748686 487600.476599169)",323
"POINT (121748.563255597 487598.577466812)",324
"POINT (121742.362007083 487590.050750105)",325
"POINT (121740.346601316 487586.136211981)",326
"POINT (121752.787856147 487595.631873768)",327
"POINT (121756.896183287 487593.538952394)",328
"POINT (121760.423143379 487591.639820037)",329
"POINT (121764.492712717 487589.081805025)",330
"POINT (121845.147701198 487611.445057478)",331
"POINT (121851.348949712 487607.879339582)",332
"POINT (121860.883369302 487608.189402008)",333
"POINT (121857.705229438 487599.275107269)",334
"POINT (121844.992669985 487597.724795141)",335
"POINT (121840.651796026 487592.531249511)",336
"POINT (121836.620984492 487587.027641455)",337
"POINT (121833.752907054 487582.764283102)",338
"POINT (121830.80731401 487578.578440355)",339
"POINT (121828.249298998 487575.322784885)",340
"POINT (121826.311408838 487571.679551383)",341
"POINT (121824.218487464 487568.423895914)",342
"POINT (121821.660472452 487564.780662412)",343
"POINT (121818.869910621 487560.362272846)",344
"POINT (121815.149161513 487554.626117971)",345
"POINT (121812.746177714 487550.827853256)",346
"POINT (121810.265678308 487547.184619754)",347
"POINT (121808.482819361 487544.23902671)",348
"POINT (121806.389897987 487541.293433666)",349
