"lp","straaturi","year"
100130,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100131,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100132,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100133,"https://adamlink.nl/geo/street/enge-kapelsteeg/7026",1876
100134,"https://adamlink.nl/geo/street/enge-kapelsteeg/7026",1876
100135,"https://adamlink.nl/geo/street/enge-kapelsteeg/7026",1876
100136,"https://adamlink.nl/geo/street/enge-kapelsteeg/7026",1876
100137,"https://adamlink.nl/geo/street/enge-kapelsteeg/7026",1876
100138,"https://adamlink.nl/geo/street/enge-kapelsteeg/7026",1876
100139,"https://adamlink.nl/geo/street/enge-kapelsteeg/7026",1876
100140,"https://adamlink.nl/geo/street/nieuwebrugsteeg/3187",1876
100141,"https://adamlink.nl/geo/street/nieuwebrugsteeg/3187",1876
100142,"https://adamlink.nl/geo/street/nieuwebrugsteeg/3187",1876
100143,"https://adamlink.nl/geo/street/nieuwebrugsteeg/3187",1876
100144,"https://adamlink.nl/geo/street/nieuwebrugsteeg/3187",1876
100145,"https://adamlink.nl/geo/street/nieuwebrugsteeg/3187",1876
100146,"https://adamlink.nl/geo/street/nieuwebrugsteeg/3187",1876
100147,"https://adamlink.nl/geo/street/kampersteiger/6355",1876
100148,"https://adamlink.nl/geo/street/kampersteiger/6355",1876
100149,"https://adamlink.nl/geo/street/kampersteiger/6355",1876
100150,"https://adamlink.nl/geo/street/kampersteiger/6355",1876
100151,"https://adamlink.nl/geo/street/kampersteiger/6355",1876
100152,"https://adamlink.nl/geo/street/kampersteiger/6355",1876
100153,"https://adamlink.nl/geo/street/kampersteiger/6355",1876
100154,"https://adamlink.nl/geo/street/kampersteiger/6355",1876
100155,"https://adamlink.nl/geo/street/kampersteiger/6355",1876
100156,"https://adamlink.nl/geo/street/kampersteiger/6355",1876
100157,"https://adamlink.nl/geo/street/sint-olofspoort/4108",1876
100158,"https://adamlink.nl/geo/street/kampersteiger/6355",1876
100166,"https://adamlink.nl/geo/street/nieuwebrugsteeg/3187",1876
100167,"https://adamlink.nl/geo/street/nieuwebrugsteeg/3187",1876
100168,"https://adamlink.nl/geo/street/nieuwebrugsteeg/3187",1876
100169,"https://adamlink.nl/geo/street/nieuwebrugsteeg/3187",1876
100170,"https://adamlink.nl/geo/street/nieuwebrugsteeg/3187",1876
100171,"https://adamlink.nl/geo/street/nieuwebrugsteeg/3187",1876
100172,"https://adamlink.nl/geo/street/nieuwebrugsteeg/3187",1876
100173,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100174,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100175,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100176,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100178,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100179,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100180,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100181,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100182,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100183,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100184,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100185,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100186,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100187,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100188,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100189,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100192,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100193,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100194,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100195,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100196,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100197,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100198,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100199,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100200,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
