caswgt,volgnr1y,buurty,huisnry,lftmy,gebplmy,bersmy,berpmy,aboeky,relimy,bsmy,lftvy,relivy,gebplvy,nrkindy,nrbodey,nrhgy,relhfdy,grondbly,pbly,patbly,jrhu1y,bervamy,bervavy,bermhuy,bergt1y,relgt1y,bergt2y,relgt2y,bergt3y,relgt3y,bergt4y,relgt4y,hulftmy,hulftvy,volgnr2y,bsvy,gebplv1y,jrhu2y,bervam2y,bervav2y,bermhu2y,bergt12y,relgt12y,bergt22y,relgt22y,bergt32y,relgt32y,bergt42y,relgt42y,hulftm2y,hulftv2y,bsv2y,gebplv2y,jrhu3y,bervam3y,bervav3y,bermhu3y,bergt13y,relgt13y,bergt23y,relgt23y,bergt33y,relgt33y,bergt43y,relgt43y,hulftm3y,hulftv3y,bsv3y,gebplv3y,tot3bly,grblgy,pblgy,patblgy,omvhhy,berpm00y,berpm0y,totbly,lftklasy
1,119501,42,177,55,1,239,651,1,5,2,-1,-1,-1,2,6,0,-1,0,267,237,1830,0,680,650,680,4,210,2,120,2,610,5,31,29,119502,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,504,1,6,5,9,6,65,4,5
1,119551,45,829,45,5,202,254,1,1,1,46,1,1,6,2,0,-1,93,301,113,1829,254,540,254,254,1,540,4,694,7,211,7,20,22,119552,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,507,4,6,5,10,2,25,4,4
1,119601,27,14,80,1,190,610,3,11,2,-1,-1,-1,0,3,0,-1,192,388,320,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119602,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,900,5,6,6,4,6,61,4,8
1,119651,9,421,54,1,207,240,1,6,1,59,1,1,0,0,0,-1,62,37,62,1826,540,310,310,540,1,310,4,0,0,0,0,26,31,119652,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,161,4,3,4,2,2,24,2,5
1,119701,3,156,74,1,257,230,3,9,2,-1,-1,-1,1,1,8,2,146,77,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119702,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,223,5,4,1,11,2,23,3,7
1,119751,34,344,46,5,239,651,1,1,1,41,1,5,8,3,1,1,0,176,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119752,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,176,1,5,1,14,6,65,2,4
1,119801,23,508,36,5,255,232,1,1,1,33,1,5,1,2,0,-1,23,69,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119802,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,118,3,4,3,5,2,23,2,3
1,119851,2,291,41,1,193,612,1,8,1,26,9,31,2,3,0,-1,64,126,87,1851,0,210,612,610,5,610,5,610,3,610,3,38,30,119852,1,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,277,4,5,4,7,6,61,3,4
1,119901,2,84,36,28,251,231,1,9,1,28,9,1,2,3,0,-1,71,176,58,1848,0,230,231,230,5,230,5,610,2,610,2,31,23,119902,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,305,4,5,4,7,2,23,3,3
1,119951,23,643,65,1,360,540,3,6,1,55,6,1,3,1,0,-1,0,126,0,1817,0,0,610,410,3,610,2,410,6,610,7,28,19,119952,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,126,1,5,1,6,5,54,2,6
1,120001,28,712,51,1,255,232,1,1,1,61,1,1,4,3,0,-1,181,401,0,1824,453,456,540,453,1,456,4,451,3,410,5,22,32,120002,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,582,5,6,1,9,2,23,4,5
1,120051,22,537,39,1,230,650,1,10,1,35,10,1,8,1,3,2,0,78,87,1836,110,540,540,540,4,540,3,220,3,540,7,22,18,120052,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,165,1,4,4,14,6,65,2,3
1,120101,25,693,61,1,193,612,1,4,2,-1,-1,-1,9,4,0,-1,433,540,618,1813,612,0,612,610,3,610,3,612,5,410,7,21,25,120102,1,1,1831,540,232,612,540,1,232,4,610,6,321,5,39,24,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1591,6,6,6,14,6,61,5,6
